review_text,rating,date,bank_name,source,sentiment
You need to copy many things from other bank apps like Amole(Dashen),2,2025-04-06,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
bring back the screenshot feature.,1,2025-04-05,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Good!👍,3,2025-04-05,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
best app to experience him that to smooth transaction among the customers,1,2025-04-05,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,2025-04-05,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
easy to use,5,2025-04-05,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,2025-04-04,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,5,2025-04-04,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,2025-04-04,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
cool ❤,4,2025-04-04,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Best app,5,2025-04-04,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
best banking App,4,2025-04-03,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
satisfied,5,2025-04-03,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
this app is very necessary app many people found it,5,2025-04-03,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
cbe very active Bank I'm using CBE app very very satisfaction,5,2025-04-03,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,5,2025-04-03,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
perfect,5,2025-04-03,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
thankyou,5,2025-04-02,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
I Like it,5,2025-04-02,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
smart app,5,2025-04-02,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
isin ga'a,2,2025-04-02,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
it's great,5,2025-04-02,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
very good app and stars faction with work,5,2025-04-02,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
It is excelent,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Smart,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
በየወሩ አፕደት እየጠየቀኝ ነው ለነገሩ ብር ስሌለኝ ይሆናል እና ምን ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል 🥺🥺🥺,3,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
very interesting app,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
wow.......cbe.....keep it up.....!!!!!!,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
ጊዜን ቆጣቢ እና ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ካሉ ፋይናንስ አፕልኬሽኖች ሁሉ ይሄ ይለያል,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Excellent🙏app,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
the most useful,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
I am more satisfied in this app . More sure you have to secure.,4,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Easy to use,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",4,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Excellent !!!,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
always we relay on,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
I'm lucky to have this🙏 thank you CBE.,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
it's need more improvement like Tellbirr.,4,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
goode app,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
a very nice app.👍👍👍,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
safe easy & fast,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
it's good app,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
It is veary useful app but screen shout was impossible .solve this problem,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
ጥሩ ነው,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
እጅግ በጣም ጥሩ አፕ,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
suitable app,4,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,1,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
best transaction method of financial,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
It literarily don't work at all,4,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
good give us plus,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",4,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
before update it was able to screenshot while after update I can't able to screenshot the transfere details,4,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Tnc Cbe,5,2025-04-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,4,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
great apps,5,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Excellent,5,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Great app!,4,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
CBE,5,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
very good 👍 👏,5,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
great when it works,5,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"the app is very good, but why screenshots is impossible?",5,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
excellent match application,5,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
The Best app😍😍😍,5,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
excellent app,5,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
easy to use and user friendly,5,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
very nice,5,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
አሪፍ ነው በተለይ የአሻራ ደህነቱ መረጋገጡ ተመችቶኛል,3,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
well software,5,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
ጥሩ ነው አንዳንዴ ስታክ ቢያደርግም,4,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
CBE very good apps,5,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"This application fast, secure and more convenient. Thanks CBE",5,2025-03-31,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
